year,total,MAG,MAG%,OA,OA%,CR,CR%,MAG+OA,MAG+OA%,MAG+CR,MAG+CR%,OA+CR,OA+CR%,Comb,Comb%
1976,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
1979,7,6,0.8571428571428571,5,0.7142857142857143,5,0.7142857142857143,6,0.8571428571428571,6,0.8571428571428571,5,0.7142857142857143,6,0.8571428571428571
1980,11,8,0.7272727272727273,6,0.5454545454545454,6,0.5454545454545454,8,0.7272727272727273,8,0.7272727272727273,6,0.5454545454545454,8,0.7272727272727273
1981,20,15,0.75,12,0.6,10,0.5,16,0.8,15,0.75,12,0.6,16,0.8
1982,28,21,0.75,19,0.6785714285714286,15,0.5357142857142857,22,0.7857142857142857,22,0.7857142857142857,19,0.6785714285714286,22,0.7857142857142857
1983,19,16,0.8421052631578947,9,0.47368421052631576,10,0.5263157894736842,16,0.8421052631578947,16,0.8421052631578947,11,0.5789473684210527,16,0.8421052631578947
1984,42,35,0.8333333333333334,28,0.6666666666666666,23,0.5476190476190477,35,0.8333333333333334,35,0.8333333333333334,29,0.6904761904761905,35,0.8333333333333334
1985,63,43,0.6825396825396826,36,0.5714285714285714,25,0.3968253968253968,47,0.746031746031746,44,0.6984126984126984,37,0.5873015873015873,47,0.746031746031746
1986,80,60,0.75,53,0.6625,45,0.5625,64,0.8,61,0.7625,54,0.675,65,0.8125
1987,91,71,0.7802197802197802,63,0.6923076923076923,60,0.6593406593406593,73,0.8021978021978022,72,0.7912087912087912,63,0.6923076923076923,73,0.8021978021978022
1988,167,146,0.874251497005988,128,0.7664670658682635,117,0.7005988023952096,149,0.8922155688622755,146,0.874251497005988,133,0.7964071856287425,149,0.8922155688622755
1989,238,181,0.7605042016806722,167,0.7016806722689075,162,0.680672268907563,189,0.7941176470588235,185,0.7773109243697479,176,0.7394957983193278,192,0.8067226890756303
1990,322,256,0.7950310559006211,225,0.6987577639751553,215,0.6677018633540373,261,0.8105590062111802,259,0.8043478260869565,232,0.7204968944099379,264,0.8198757763975155
1991,414,331,0.7995169082125604,305,0.7367149758454107,286,0.6908212560386473,344,0.8309178743961353,336,0.8115942028985508,318,0.7681159420289855,346,0.8357487922705314
1992,493,417,0.845841784989858,357,0.7241379310344828,346,0.7018255578093306,430,0.8722109533468559,423,0.8580121703853956,378,0.7667342799188641,432,0.8762677484787018
1993,679,590,0.8689248895434463,506,0.7452135493372607,471,0.6936671575846833,608,0.8954344624447718,598,0.8807069219440353,523,0.7702503681885126,609,0.8969072164948454
1994,986,818,0.8296146044624746,709,0.7190669371196755,665,0.6744421906693712,834,0.845841784989858,822,0.8336713995943205,739,0.7494929006085193,834,0.845841784989858
